"Location","Station_Number","Sample_Type","Replicate","Timepoint","rate"
"NJ2020",4,"VPC",2,3,0.94984884873222
"NJ2020",4,"VPC",2,6,1.14304306147775
"NJ2020",4,"VPC",2,24,0.906628543723619
"NJ2020",4,"VPC",2,9,1.06871548662494
"NJ2020",4,"VPC",2,12,1.13047518087752
"NJ2020",4,"VPC",3,0,1
"NJ2020",4,"VPC",3,3,0.975455657400882
"NJ2020",4,"VPC",3,6,1.34636230661338
"NJ2020",4,"VPC",3,24,0.918010772789907
"NJ2020",4,"VPC",3,9,1.30028800886374
"NJ2020",4,"VPC",3,12,1.23400681231751
"NJ2020",5,"VP",1,0,1
"NJ2020",5,"VP",1,3,1.01971155232348
"NJ2020",5,"VP",1,6,1.04582708069516
"NJ2020",5,"VP",1,24,0.963710695375118
"NJ2020",5,"VP",1,9,1.00703461150073
"NJ2020",5,"VP",1,12,1.13808835764848
"NJ2020",5,"VP",2,0,1
"NJ2020",5,"VP",2,3,0.946058348780398
"NJ2020",5,"VP",2,6,0.870784902238726
"NJ2020",5,"VP",2,24,1.03555035552163
"NJ2020",5,"VP",2,9,0.88754210879708
"NJ2020",5,"VP",2,12,0.944615382408134
"NJ2020",5,"VP",3,0,1
"NJ2020",5,"VP",3,3,0.962582594062196
"NJ2020",5,"VP",3,6,0.878688821947583
"NJ2020",5,"VP",3,24,1.05697505533241
"NJ2020",5,"VP",3,9,0.913512510129395
"NJ2020",5,"VP",3,12,1.03518321827895
"NJ2020",5,"VPC",1,0,1
"NJ2020",5,"VPC",1,3,1.2157205733347
"NJ2020",5,"VPC",1,6,0.90566807457753
"NJ2020",5,"VPC",1,24,0.841593254171553
"NJ2020",5,"VPC",1,9,0.956616156441285
"NJ2020",5,"VPC",1,12,0.894154156752469
"NJ2020",5,"VPC",2,0,1
"NJ2020",5,"VPC",2,3,0.914990307496476
"NJ2020",5,"VPC",2,6,0.926287434945775
"NJ2020",5,"VPC",2,24,0.833209230311301
"NJ2020",5,"VPC",2,9,0.912853260114668
"NJ2020",5,"VPC",2,12,0.91436564654043
"NJ2020",5,"VPC",3,0,1
"NJ2020",5,"VPC",3,3,0.89935199554571
"NJ2020",5,"VPC",3,6,0.960212451900061
"NJ2020",5,"VPC",3,24,0.88611868739286
"NJ2020",5,"VPC",3,9,0.944220029175526
"NJ2020",5,"VPC",3,12,0.937142211593555
"NJ2020",6,"VP",1,0,1
"NJ2020",6,"VP",1,3,1.03649302025407
"NJ2020",6,"VP",1,6,0.802144505785614
"NJ2020",6,"VP",1,24,1.18792590037041
"NJ2020",6,"VP",1,9,-0.000379585069133816
"NJ2020",6,"VP",1,12,0.866227482919982
"NJ2020",6,"VP",2,0,1
"NJ2020",6,"VP",2,3,1.03365005233878
"NJ2020",6,"VP",2,6,0.872139345200825
"NJ2020",6,"VP",2,24,1.077657320318
"NJ2020",6,"VP",2,9,0.87550110601226
"NJ2020",6,"VP",2,12,0.879857677213927
"NJ2020",6,"VP",3,0,1
"NJ2020",6,"VP",3,3,0.868730898815744
"NJ2020",6,"VP",3,6,0.735709129380304
"NJ2020",6,"VP",3,24,0.952074858241262
"NJ2020",6,"VP",3,9,0.799907307313863
"NJ2020",6,"VP",3,12,0.825212036541624
"NJ2020",6,"VPC",1,0,1
"NJ2020",6,"VPC",1,3,0.8935604075324
"NJ2020",6,"VPC",1,6,0.718835036365082
"NJ2020",6,"VPC",1,24,0.61600130592472
"NJ2020",6,"VPC",1,9,0.00518540873875493
"NJ2020",6,"VPC",1,12,0.605497766296175
"NJ2020",6,"VPC",2,0,1
"NJ2020",6,"VPC",2,3,0.950072479331819
"NJ2020",6,"VPC",2,6,0.676996151240433
"NJ2020",6,"VPC",2,24,0.510408697335654
"NJ2020",6,"VPC",2,9,0.805380770290589
"NJ2020",6,"VPC",2,12,0.558571806103916
"NJ2020",6,"VPC",3,0,1
"NJ2020",6,"VPC",3,3,0.957436378583293
"NJ2020",6,"VPC",3,6,0.653127988168667
"NJ2020",6,"VPC",3,24,0.586278836511839
"NJ2020",6,"VPC",3,9,0.650025512867404
"NJ2020",6,"VPC",3,12,0.595160909677763
"NJ2020",7,"VP",1,0,1
"NJ2020",7,"VP",1,3,1.28142371499727
"NJ2020",7,"VP",1,6,1.57826001044925
"NJ2020",7,"VP",1,24,1.49396067446597
"NJ2020",7,"VP",1,9,0.705072480417651
"NJ2020",7,"VP",1,12,1.24459219463172
"NJ2020",7,"VP",2,0,1
"NJ2020",7,"VP",2,3,1.08088934065179
"NJ2020",7,"VP",2,6,0.907005330977723
"NJ2020",7,"VP",2,24,1.54150836825805
"NJ2020",7,"VP",2,9,0.745569956793895
"NJ2020",7,"VP",2,12,1.25446012219604
"NJ2020",7,"VP",3,0,1
"NJ2020",7,"VP",3,3,0.530923623696419
"NJ2020",7,"VP",3,6,0.712944789644406
"NJ2020",7,"VP",3,24,1.44453999658834
"NJ2020",7,"VP",3,9,0.546860207027301
"NJ2020",7,"VP",3,12,1.19209791424089
"NJ2020",7,"VPC",1,0,1
"NJ2020",7,"VPC",1,3,1.04122743119218
"NJ2020",7,"VPC",1,6,1.15099183351855
"NJ2020",7,"VPC",1,24,1.11222672866362
"NJ2020",7,"VPC",1,9,1.0981914964642
"NJ2020",7,"VPC",1,12,1.0739559692119
"NJ2020",7,"VPC",2,0,1
"NJ2020",7,"VPC",2,3,1.01227658392363
"NJ2020",7,"VPC",2,6,1.15119353807707
"NJ2020",7,"VPC",2,24,0.971185137609124
"NJ2020",7,"VPC",2,9,0.965118737076818
"NJ2020",7,"VPC",2,12,0.971553405197898
"NJ2020",7,"VPC",3,0,1
"NJ2020",7,"VPC",3,3,0.999619630148056
"NJ2020",7,"VPC",3,6,0.924622404471347
"NJ2020",7,"VPC",3,24,1.0830092302232
"NJ2020",7,"VPC",3,9,1.00496160402739
"NJ2020",7,"VPC",3,12,1.03984049700935
